be,bo'lishi
provide,ta'minlash
service,xizmat
around,atrofida
friend,do'stim
important,muhim
father,ota
sit,o'tirish
away,uzoqda
until,gacha
power,kuch
hour,soat
game,o'yin
often,ko'pincha
yet,hali
line,chiziq
political,siyosiy
end,oxiri
among,orasida
ever,har doim
stand,turish
bad,yomon
lose,yo'qotish
however,ammo
member,a'zo
pay,to'lash
law,qonun
meet,uchrashmoq
car,mashina
city,shahar
almost,deyarli
include,o'z ichiga oladi
continue,davom eting
set,o'rnatilgan
later,keyinroq
community,jamiyat
name,ism
five,besh
once,bir marta
white,oq
least,kamida
president,Prezident
learn,o'rganish
real,haqiqiy
change,o'zgartirish
team,jamoa
minute,daqiqa
best,eng yaxshi
several,bir nechta
idea,g'oya
kid,bola
body,tanasi
information,ma `lumot
nothing,hech narsa
ago,oldin
lead,qo'rg'oshin
social,ijtimoiy
understand,tushunish
whether,yo'qmi
watch,tomosha qiling
together,birgalikda
follow,amal qiling
parent,ota-ona
stop,To'xta
face,yuz
anything,har qanday narsa
create,yaratmoq
public,jamoat
already,allaqachon
speak,gapirish
others,boshqalar
read,o'qing
level,Daraja
allow,ruxsat berish
add,qo'shish
office,idora
spend,sarf qilmoq
door,eshik
health,sog'liq
person,shaxs
art,san'at
sure,aniq
war,urush
history,tarix
party,ziyofat
within,ichida
grow,o'sadi
result,natija
open,ochiq
morning,ertalab
walk,yurish
reason,sabab
low,past
win,g'alaba qozonish
research,tadqiqot
girl,qiz
guy,yigit
early,erta
food,ovqat
moment,lahza
himself,o'zi
air,havo
teacher,o'qituvchi
force,kuch
offer,taklif
enough,yetarli
education,ta'lim
across,bo'ylab
although,bo'lsa-da
remember,eslayman
foot,oyoq
second,ikkinchi
boy,bola
maybe,balki
toward,tomonga
able,qodir
age,yoshi
policy,siyosat
everything,hamma narsa
love,sevgi
process,jarayon
music,musiqa
including,shu jumladan
consider,o'ylab ko'ring
appear,paydo bo'ladi
actually,aslida
buy,sotib olish
probably,ehtimol
human,inson
wait,Kutmoq
serve,xizmat qilish
market,bozor
die,o'lmoq
send,yuborish
expect,kutmoq
sense,sezgi
build,qurmoq
stay,qolish
fall,yiqilish
oh,oh
nation,millat
plan,reja
cut,kesilgan
college,kollej
interest,qiziqish
death,o'lim
course,albatta
someone,kimdir
experience,tajriba
behind,orqada
reach,yetmoq
local,mahalliy
kill,o'ldirmoq
six,olti
remain,qolmoq
effect,effekt
yeah,ha
suggest,taklif qilmoq
class,sinf
control,boshqaruv
raise,oshirish
care,g'amxo'rlik
perhaps,balki
late,kech
hard,qiyin
field,maydon
else,boshqa
pass,o'tish
former,avvalgi
sell,sotish
major,katta
sometimes,ba'zan
require,talab qilish
along,birga
development,rivojlanish
themselves,o'zlari
report,hisobot
role,rol
better,yaxshiroq
economic,iqtisodiy
effort,harakat
decide,qaror qiling
rate,stavka
strong,kuchli
possible,mumkin
heart,yurak
drug,dori
leader,rahbar
light,yorug'lik
voice,ovoz
wife,xotin
whole,butun
police,politsiya
mind,aql
finally,nihoyat
pull,Torting
return,qaytish
free,ozod
military,harbiy
price,narx
less,Ozroq
according,ko'ra
decision,qaror
explain,tushuntiring
son,o'g'il
hope,umid
develop,rivojlantirish
view,ko'rinish
relationship,munosabatlar
carry,olib yurmoq
town,shahar
road,yo'l
drive,haydash
arm,qo'l
True,To'g'ri
federal,federal
break,tanaffus
difference,farq
thank,rahmat
receive,qabul qilish
value,qiymat
international,xalqaro
building,bino
action,harakat
full,to'liq
model,model
join,qo'shilish
season,mavsum
society,jamiyat
tax,soliq
director,direktor
position,pozitsiya
player,o'yinchi
agree,rozi bo'ling
especially,ayniqsa
record,yozuv
pick,tanlash
wear,kiyish
paper,qog'oz
special,maxsus
space,bo'sh joy
ground,zamin
form,shakl
support,qo'llab-quvvatlash
event,tadbir
official,rasmiy
whose,kimning
matter,materiya
everyone,hamma
center,markaz
couple,er-xotin
site,sayt
project,loyiha
hit,urish
base,tayanch
activity,faoliyat
star,Yulduz
table,stol
court,sud
produce,mahsulot
eat,yemoq
teach,o'rgatish
oil,yog '
half,yarmi
situation,vaziyat
easy,oson
cost,xarajat
industry,sanoat
figure,shakl
street,ko'cha
image,rasm
itself,o'zi
phone,telefon
either,yoki
data,ma'lumotlar
cover,qopqoq
quite,juda
picture,rasm
clear,aniq
practice,mashq qilish
piece,parcha
land,er
recent,yaqinda
describe,tasvirlab bering
product,mahsulot
doctor,shifokor
wall,devor
patient,sabrli
worker,ishchi
news,Yangiliklar
test,sinov
movie,kino
certain,aniq
north,shimoliy
personal,shaxsiy
simply,shunchaki
third,uchinchisi
technology,texnologiya
catch,ushlamoq
step,qadam
baby,bolam
computer,kompyuter
type,turi
attention,diqqat
draw,chizish
film,film
Republican,Respublika
tree,daraxt
source,manba
red,qizil
nearly,deyarli
organization,tashkilot
choose,tanlang
cause,sabab
hair,Soch
century,asr
evidence,dalil
window,oyna
difficult,qiyin
listen,tinglang
soon,tez orada
culture,madaniyat
billion,milliard
chance,imkoniyat
brother,aka
energy,energiya
period,davr
summer,yoz
realize,anglamoq
hundred,yuz
available,mavjud
plant,o'simlik
likely,ehtimol
opportunity,imkoniyat
term,muddat
short,qisqa
letter,xat
condition,holat
choice,tanlov
single,bitta
rule,qoida
daughter,qizim
administration,ma'muriyat
south,janub
husband,er
Congress,Kongress
floor,zamin
campaign,kampaniya
material,material
population,aholi
economy,iqtisodiyot
medical,tibbiy
hospital,kasalxona
church,cherkov
close,yaqin
thousand,ming
risk,xavf
current,joriy
fire,olov
future,kelajak
wrong,noto'g'ri
involve,jalb qilmoq
defense,mudofaa
anyone,har kim
increase,kattalashtirish; ko'paytirish
security,xavfsizlik
bank,bank
myself,o'zim
certainly,albatta
west,g'arb
sport,sport
board,taxta
seek,izlamoq
per,per
subject,Mavzu
officer,ofitser
private,xususiy
rest,dam olish
behavior,xulq-atvor
deal,bitim
performance,ishlash
fight,kurash
throw,otish
top,yuqori
quickly,tez
past,o'tmish
goal,maqsad
bed,karavot
order,buyurtma
author,muallif
fill,to'ldirish
represent,vakillik qilish
focus,diqqat
foreign,chet el
drop,tushirish
blood,qon
upon,ustiga
agency,agentlik
push,Durang
nature,tabiat
color,rang
recently,yaqinda
store,do'kon
reduce,kamaytirish
sound,tovush
note,Eslatma
fine,yaxshi
near,yaqin
movement,harakat
page,sahifa
enter,kiriting
share,ulush
common,umumiy
poor,kambag'al
natural,tabiiy
race,poyga
concern,tashvish
series,seriyali
significant,muhim
similar,o'xshash
hot,issiq
language,til
usually,odatda
response,javob
dead,o'lik
rise,ko'tarilish
animal,hayvon
factor,omil
decade,o'n yil
article,maqola
shoot,otish
east,sharq
save,saqlash
seven,Yetti
artist,rassom
scene,sahna
stock,Aksiya
career,martaba
despite,qaramay
central,markaziy
eight,sakkiz
thus,shunday qilib
treatment,davolash
beyond,tashqarida
happy,baxtli
exactly,aniq
protect,himoya qilmoq
approach,yondashuv
lie,yolg'on
size,hajmi
dog,it
fund,fond
serious,jiddiy
occur,sodir bo'lishi
media,ommaviy axborot vositalari
ready,tayyor
sign,imzo
thought,deb o'yladi
list,ro'yxat
individual,individual
simple,oddiy
quality,sifat
pressure,bosim
accept,qabul qilish
answer,javob bering
resource,manba
identify,aniqlash
left,chap
meeting,uchrashuv
determine,aniqlash
prepare,tayyorlash
disease,kasallik
whatever,nima bo'lsa ham
success,muvaffaqiyat
argue,bahslashmoq
cup,chashka
particularly,ayniqsa
amount,miqdori
ability,qobiliyat
staff,xodimlar
recognize,tan olish
indicate,ko'rsatmoq
character,belgi
growth,o'sish
loss,yo'qotish
degree,daraja
wonder,hayrat
attack,hujum
herself,o'zi
region,mintaqa
television,televizor
box,quti
TV,Televizor
training,ta'lim
pretty,chiroyli
trade,savdo
election,saylov
everybody,hamma
physical,jismoniy
lay,yotish
general,umumiy
feeling,tuyg'u
standard,standart
bill,qonun loyihasi
message,xabar
fail,muvaffaqiyatsiz
outside,tashqarida
arrive,kelmoq
analysis,tahlil
benefit,foyda olish
sex,jinsiy aloqa
forward,oldinga
lawyer,yurist
present,hozir
section,Bo'lim
environmental,atrof-muhit
glass,stakan
skill,mahorat
sister,opa
PM,Bosh vazir
professor,professor
operation,operatsiya
financial,moliyaviy
crime,jinoyat
stage,bosqich
ok,ok
compare,taqqoslash
authority,hokimiyat
miss,sog'inmoq
design,dizayn
sort,saralash
act,harakat qilish
ten,o'n
knowledge,bilim
gun,qurol
station,stantsiya
blue,ko'k
strategy,strategiya
clearly,aniq
discuss,muhokama qilish
indeed,haqiqatdan ham
truth,haqiqat
song,Qo'shiq
example,misol
democratic,demokratik
check,tekshirish
environment,atrof-muhit
leg,oyoq
dark,qorong'i
various,turli xil
rather,aksincha
laugh,kulmoq
guess,taxmin qilish
executive,ijro etuvchi
prove,isbotlash
hang,osib qo'ying
entire,butun
rock,tosh
forget,unut
claim,Talab
remove,olib tashlash
manager,menejer
enjoy,zavqlanmoq
network,tarmoq
legal,qonuniy
religious,diniy
cold,sovuq
final,final
main,asosiy
science,fan
green,yashil
memory,xotira
card,karta
above,yuqorida
seat,o'rindiq
cell,hujayra
establish,o'rnatmoq
nice,yaxshi
trial,sud jarayoni
expert,mutaxassis
spring,bahor
firm,qat'iy
Democrat,Demokrat
radio,radio
visit,tashrif buyurish
management,boshqaruv
avoid,qochmoq
imagine,tasavvur qiling
tonight,bugun tunda
huge,ulkan
ball,to'p
finish,tugatish
yourself,o'zingiz
theory,nazariya
impact,ta'sir
respond,javob bering
statement,bayonot
maintain,saqlamoq
charge,zaryadlash
popular,mashhur
traditional,an'anaviy
onto,ustiga
reveal,ochib berish
direction,yo'nalish
weapon,qurol
employee,xodim
cultural,madaniy
contain,o'z ichiga oladi
peace,tinchlik
pain,og'riq
apply,murojaat qilish
measure,o'lchov
wide,keng
shake,silkit
fly,pashsha
interview,intervyu
manage,boshqarish
chair,kafedra
fish,baliq
particular,xususan
camera,kamera
structure,tuzilishi
politics,siyosat
perform,ijro etish
bit,bit
weight,vazn
suddenly,to'satdan
discover,kashf qilish
candidate,nomzod
production,ishlab chiqarish
treat,davolash
trip,sayohat
evening,oqshom
affect,ta'sir qilish
inside,ichida
conference,konferensiya
unit,birlik
style,uslub
adult,kattalar
worry,tashvishlaning
range,oralig'i
mention,zikr qilish
deep,chuqur
edge,chekka
specific,aniq
writer,yozuvchi
trouble,muammo
necessary,zarur
throughout,davomida
challenge,qiyinchilik
fear,qo'rquv
shoulder,yelka
institution,muassasa
middle,o'rta
sea,dengiz
dream,orzu qilish
bar,bar
beautiful,chiroyli
property,mulk
instead,o'rniga
improve,yaxshilash
stuff,narsalar
detail,tafsilot
method,usul
somebody,kimdir
magazine,jurnal
hotel,mehmonxona
soldier,askar
reflect,aks ettirish
heavy,og'ir
sexual,jinsiy
bag,sumka
heat,issiqlik
marriage,nikoh
tough,qattiq
sing,qo'shiq ayt
surface,sirt
purpose,maqsad
exist,mavjud
pattern,naqsh
whom,kim
skin,teri
agent,agent
owner,egasi
machine,mashina
gas,gaz
ahead,oldinda
generation,avlod
commercial,tijorat
address,manzil
cancer,saraton
item,element
reality,haqiqat
coach,murabbiy
Mrs,Xonim
yard,hovli
beat,mag'lub etish
violence,zo'ravonlik
total,jami
tend,moyillik
investment,sarmoya
discussion,munozara
finger,barmoq
garden,bog '
notice,e'tibor bering
collection,to'plam
modern,zamonaviy
task,vazifa
partner,sherik
positive,ijobiy
civil,fuqarolik
kitchen,oshxona
consumer,iste'molchi
shot,otilgan
budget,byudjet
wish,tilak
painting,rasm
scientist,olim
safe,xavfsiz
agreement,kelishuv
capital,poytaxt
mouth,og'iz
nor,na
victim,jabrlanuvchi
newspaper,gazeta
threat,tahdid
responsibility,javobgarlik
smile,tabassum
attorney,advokat
score,Xol
account,hisob qaydnomasi
interesting,qiziqarli
audience,tomoshabinlar
rich,boy
dinner,kechki ovqat
vote,ovoz berish
western,g'arbiy
relate,aloqador
travel,sayohat
debate,munozara
prevent,oldini olish
citizen,fuqaro
majority,ko'pchilik
none,yo'q
front,old
born,tug'ilgan
admit,tan olish
senior,katta
assume,taxmin qilmoq
wind,shamol
key,kalit
professional,professional
mission,missiya
fast,tez
alone,yolg'iz
customer,mijoz
suffer,azob chekish
speech,nutq
successful,omadli
option,variant
participant,ishtirokchi
southern,Janubiy
fresh,yangi
eventually,oxir-oqibat
forest,o'rmon
video,video
global,global
Senate,Senat
reform,islohot
access,kirish
restaurant,restoran
judge,sudya
publish,nashr etish
relation,munosabat
release,ozod qilish
bird,qush
opinion,fikr
credit,kredit
critical,tanqidiy
corner,burchak
concerned,manfaatdor
recall,eslash
version,versiyasi
stare,qarash
safety,xavfsizlik
effective,samarali
neighborhood,Turar joy dahasi
original,original
troop,qo'shin
income,daromad
directly,to'g'ridan-to'g'ri
hurt,zarar
species,turlari
immediately,darhol
track,trek
basic,Asosiy
strike,urish
sky,osmon
freedom,erkinlik
absolutely,mutlaqo
plane,samolyot
nobody,hech kim
achieve,erishish
object,ob'ekt
attitude,munosabat
labor,mehnat
refer,murojaat qiling
concept,kontseptsiya
client,mijoz
powerful,kuchli
perfect,mukammal
nine,to'qqiz
therefore,shuning uchun
conduct,xulq-atvor
announce,e'lon qilish
conversation,suhbat
examine,Imtihon
touch,teginish
please,Iltimos
attend,qatnashmoq
completely,to'liq
variety,xilma-xillik
sleep,uxlash
involved,jalb qilingan
investigation,tergov
nuclear,yadroviy
researcher,tadqiqotchi
press,bosing
conflict,ziddiyat
spirit,ruh
replace,almashtirish
British,Inglizlar
encourage,rag'batlantirish
argument,dalil
camp,lager
brain,miya
feature,xususiyati
afternoon,peshindan keyin
AM,AM
weekend,dam olish kunlari
dozen,o'nlab
possibility,imkoniyat
insurance,sug'urta
department,Bo'lim
battle,jang
beginning,boshlanishi
date,sana
generally,umuman
African,Afrika
sorry,uzr
crisis,inqiroz
complete,to'liq
fan,muxlis
stick,tayoq
define,aniqlang
easily,osonlik bilan
hole,teshik
element,element
vision,ko'rish
status,holat
normal,normal
Chinese,Xitoy
ship,kema
solution,yechim
stone,tosh
slowly,sekin
scale,o'lchov
university,universitet
introduce,tanishtirmoq
driver,haydovchi
attempt,urinish
park,park
spot,dog '
lack,etishmaslik
ice,muz
boat,qayiq
drink,ichish
sun,quyosh
distance,masofa
wood,yog'och
handle,tutqich
truck,yuk mashinasi
mountain,tog
survey,tadqiqot
supposed,taxmin qilingan
tradition,an'ana
winter,qish
village,qishloq
Soviet,Sovet
refuse,rad etish
sales,sotish
roll,rulon
communication,aloqa
screen,ekran
gain,daromad
resident,rezident
hide,yashirish
gold,oltin
club,klub
farm,ferma
potential,salohiyat
European,Evropa
presence,mavjudlik
independent,mustaqil
district,tuman
shape,shakli
reader,o'quvchi
Ms,Xonim
contract,shartnoma
crowd,olomon
Christian,Nasroniy
express,ifoda eting
apartment,kvartira
willing,tayyor
strength,kuch
previous,oldingi
band,guruh
obviously,aniq
horse,ot
interested,manfaatdor
target,nishon
prison,qamoqxona
ride,minmoq
guard,qo'riqchi
terms,shartlar
demand,talab
reporter,muxbir
deliver,etkazib berish
text,matn
tool,vosita
wild,yovvoyi
vehicle,transport vositasi
observe,kuzatmoq
flight,parvoz
facility,qulaylik
understanding,tushunish
average,o'rtacha
emerge,paydo bo'lish
advantage,afzallik
quick,tez
leadership,etakchilik
earn,ishlab topmoq
pound,funt
basis,asos
bright,yorqin
operate,ishlash
guest,mehmon
sample,namuna
contribute,hissa qo'shmoq
tiny,mayda
block,blokirovka qilish
protection,himoya qilish
settle,joylashmoq
feed,ozuqa
collect,yig'moq
additional,qo'shimcha
highly,juda yuqori
identity,shaxsiyat
title,sarlavha
mostly,asosan
lesson,dars
faith,imon
river,daryo
promote,targ'ib qilish
living,yashash
count,hisoblash
unless,agar bo'lmasa
marry,uylanmoq
tomorrow,ertaga
technique,texnika
path,yo'l
ear,quloq
shop,do'kon
folk,xalq
principle,tamoyil
survive,omon qolish
lift,ko'tarish
border,chegara
competition,musobaqa
jump,sakramoq
gather,yig'moq
limit,chegara
fit,mos
cry,yig'lamoq
equipment,uskunalar
worth,arziydi
associate,sherik
critic,tanqidchi
warm,iliq
aspect,jihat
insist,turib olish
failure,muvaffaqiyatsizlik
annual,yillik
French,Frantsuz
Christmas,Rojdestvo
comment,sharh
responsible,javobgar
affair,ish
procedure,protsedura
regular,muntazam
spread,tarqalish
chairman,rais
baseball,beysbol
soft,yumshoq
ignore,e'tiborsiz qoldiring
egg,tuxum
belief,e'tiqod
demonstrate,namoyish qilmoq
anybody,hech kim
murder,qotillik
gift,sovg'a
religion,din
review,ko'rib chiqish
editor,muharriri
engage,shug'ullanmoq
coffee,kofe
document,hujjat
speed,tezlik
cross,kesib o'tish
influence,ta'sir
anyway,nima bo'lganda ham
threaten,tahdid qilmoq
commit,qilmoq
female,ayol
youth,yoshlar
wave,to'lqin
afraid,qo'rqaman
quarter,chorak
background,fon
native,tug'ma
broad,keng
wonderful,ajoyib
deny,rad etish
apparently,aftidan
slightly,ozgina
reaction,reaktsiya
twice,ikki marta
suit,kostyum
perspective,istiqbol
growing,o'sib borayotgan
blow,puflamoq
construction,qurilish
intelligence,aql-idrok
destroy,yo'q qilish
cook,pishirish
connection,ulanish
burn,kuyish
shoe,poyabzal
grade,sinf
context,kontekst
committee,qo'mita
hey,hey
mistake,Xato
location,Manzil
clothes,kiyim-kechak
Indian,Hind
quiet,tinch
dress,kiyinish
promise,va'da
aware,xabardor
neighbor,qo'shni
function,funktsiya
bone,suyak
active,faol
extend,uzaytirish
chief,boshliq
combine,aralashtirmoq
wine,vino
below,quyida
cool,salqin
voter,saylovchi
learning,o'rganish
bus,avtobus
hell,jahannam
dangerous,xavfli
remind,eslatmoq
moral,ahloqiy
United,Birlashgan
category,toifasi
relatively,nisbatan
victory,g'alaba
academic,akademik
Internet,Internet
healthy,sog'lom
negative,salbiy
following,quyidagi
historical,tarixiy
medicine,Dori
tour,ekskursiya
depend,bog'liq
photo,fotosurat
finding,topish
grab,qatnashmoq
direct,to'g'ridan-to'g'ri
classroom,sinf
contact,aloqa
justice,adolat
participate,ishtirok etish
daily,har kuni
fair,adolatli
pair,juftlik
famous,mashhur
exercise,jismoniy mashqlar
knee,tizza
flower,gul
tape,lenta
hire,yollash
familiar,tanish
appropriate,muvofiq
supply,ta'minot
fully,to'liq
actor,aktyor
birth,tug'ilish
search,qidirmoq
tie,taqish
democracy,demokratiya
eastern,sharqiy
primary,birlamchi
yesterday,kecha
circle,doira
device,qurilma
progress,taraqqiyot
bottom,pastki
island,orol
exchange,almashish
clean,toza
studio,studiya
train,poezd
lady,xonim
colleague,hamkasb
application,dastur
neck,bo'yin
lean,oriq
damage,zarar
plastic,plastik
tall,uzun bo'yli
plate,plastinka
hate,nafrat
otherwise,aks holda
writing,yozish
male,erkak
alive,tirik
expression,ifoda
football,futbol
intend,niyat qilmoq
chicken,tovuq
army,armiya
abuse,suiiste'mol qilish
theater,teatr
shut,yoping
map,xarita
extra,qo'shimcha
session,sessiya
danger,Xavfli
welcome,xush kelibsiz
domestic,ichki
lots,ko'p
literature,adabiyot
rain,yomg'ir
desire,istak
assessment,baholash
injury,shikastlanish
respect,hurmat
northern,shimoliy
nod,bosh irg'ash
paint,bo'yamoq
fuel,yoqilg'i
leaf,barg
dry,quruq
Russian,Ruscha
instruction,ko'rsatma
pool,basseyn
climb,ko'tarilish
sweet,shirin
engine,dvigatel
fourth,to'rtinchi
salt,tuz
expand,kengaytirish
importance,ahamiyati
metal,metall
fat,yog '
ticket,chipta
software,dasturiy ta'minot
disappear,g'oyib bo'lish
corporate,korporativ
strange,g'alati
lip,lab
reading,o'qish
urban,shahar
mental,aqliy
increasingly,borgan sari
lunch,tushlik
educational,tarbiyaviy
somewhere,biron bir joyda
farmer,dehqon
sugar,shakar
planet,sayyora
favorite,sevimli
explore,o'rganmoq
obtain,olish
enemy,dushman
greatest,eng buyuk
complex,murakkab
surround,o'rab olish
athlete,sportchi
invite,taklif qiling
repeat,takrorlang
carefully,ehtiyotkorlik bilan
soul,jon
scientific,ilmiy
impossible,imkonsiz
panel,panel
meaning,ma'no
mom,onam
married,uylangan
instrument,asbob
predict,bashorat qilish
weather,ob-havo
presidential,prezidentlik
emotional,hissiy
commitment,majburiyat
Supreme,Oliy
bear,ayiq
pocket,cho'ntak
thin,ingichka
temperature,harorat
surprise,ajablanib
poll,so'rovnoma
proposal,taklif
consequence,oqibat
breath,nafas
sight,ko'rish
balance,muvozanat
adopt,asrab olish
minority,ozchilik
straight,To'g'riga
connect,ulanmoq
works,ishlaydi
teaching,o'qitish
belong,tegishli
aid,yordam
advice,maslahat
okay,xop
photograph,fotosurat
empty,bo'sh
regional,mintaqaviy
trail,iz
novel,roman
code,kod
somehow,qandaydir tarzda
organize,tashkil qilish
jury,hakamlar hay'ati
breast,ko'krak
Iraqi,Iroq
acknowledge,tan olish
theme,mavzu
storm,bo'ron
union,birlashma
desk,stol
thanks,rahmat
fruit,meva
expensive,qimmat
yellow,sariq
conclusion,xulosa
prime,asosiy
shadow,soya
struggle,kurash
conclude,xulosa qilish
analyst,tahlilchi
dance,raqs
regulation,tartibga solish
being,bo'lish
ring,uzuk
largely,asosan
shift,siljish
revenue,daromad
mark,belgi
locate,topmoq
county,okrug
appearance,tashqi ko'rinish
package,paket
difficulty,qiyinchilik
bridge,ko'prik
recommend,tavsiya eting
obvious,aniq
basically,asosan
e-mail,elektron pochta
generate,yaratish
anymore,endi
propose,taklif qilmoq
thinking,fikrlash
possibly,ehtimol
trend,trend
visitor,Mehmon
loan,kredit
currently,hozirda
comfortable,qulay
investor,investor
profit,foyda
angry,badjahl
crew,ekipaj
accident,baxtsiz hodisa
meal,ovqat
hearing,eshitish
traffic,tirbandlik
muscle,muskul
notion,tushunchasi
capture,qo'lga olish
prefer,afzal
truly,haqiqatan ham
earth,er
Japanese,Yapon
chest,ko'krak qafasi
thick,qalin
cash,naqd pul
museum,muzey
beauty,go'zallik
emergency,favqulodda vaziyat
unique,noyob
internal,ichki
ethnic,etnik
link,havola
stress,stress
content,tarkib
select,tanlang
root,ildiz
nose,burun
declare,e'lon qiling
appreciate,qadrlayman
actual,haqiqiy
bottle,shisha
hardly,deyarli emas
setting,sozlash
launch,ishga tushirish
file,fayl
sick,kasal
outcome,natija
ad,reklama
defend,himoya qilmoq
duty,burch
sheet,varaq
ought,kerak
ensure,ta'minlash
Catholic,Katolik
extremely,nihoyatda
extent,darajada
component,komponent
mix,aralashtiramiz
long-term,Uzoq muddat
slow,sekin
contrast,qarama-qarshilik
zone,zona
wake,uyg'onish
airport,aeroport
brown,jigarrang
shirt,ko'ylak
pilot,uchuvchi
warn,ogohlantiring
ultimately,oxir-oqibat
cat,mushuk
contribution,hissa
capacity,imkoniyatlar
ourselves,o'zimiz
estate,mulk
guide,qo'llanma
circumstance,holat
snow,qor
English,Ingliz tili
politician,siyosatchi
steal,o'g'irlash
pursue,ta'qib qilish
slip,sirpanish
percentage,foiz
meat,go'sht
funny,kulgili
neither,na
soil,tuproq
surgery,jarrohlik
correct,to'g'ri
Jewish,Yahudiy
blame,ayb
estimate,smeta
due,tufayli
basketball,basketbol
golf,golf
investigate,tergov qilish
crazy,aqldan ozgan
significantly,sezilarli darajada
chain,zanjir
branch,filial
combination,kombinatsiya
frequently,tez-tez
governor,hokim
relief,yengillik
user,foydalanuvchi
dad,ota
kick,tepish
manner,uslub
ancient,qadimiy
silence,sukunat
rating,reyting
golden,oltin
motion,harakat
German,Nemis
gender,jins
solve,hal qilish
fee,haq
landscape,manzara
used,ishlatilgan
bowl,kosa
equal,teng
forth,oldinga
frame,ramka
typical,tipik
except,bundan mustasno
conservative,konservativ
eliminate,yo'q qilish
host,mezbon
hall,zal
trust,ishonch
ocean,okean
row,qator
producer,ishlab chiqaruvchi
afford,imkoni bor
meanwhile,bu orada
regime,tartib
division,bo'linish
confirm,tasdiqlang
fix,tuzatish
appeal,Shikoyat qilish
mirror,oyna
tooth,tish
smart,aqlli
length,uzunlik
entirely,butunlay
rely,ishonmoq
topic,mavzu
complain,shikoyat qilish
variable,o'zgaruvchan
telephone,telefon
perception,idrok
attract,jalb qilmoq
confidence,ishonch
bedroom,yotoq xonasi
secret,sir
debt,qarz
rare,kamdan-kam
tank,tank
nurse,hamshira
coverage,qamrov
opposition,muxolifat
aside,chetga
anywhere,har qanday joyda
bond,bog'lanish
pleasure,zavq
master,usta
era,davr
requirement,talab
fun,qiziqarli
expectation,kutish
wing,qanot
separate,alohida
somewhat,bir oz
pour,to'kib tashlang
stir,aralashtiramiz
judgment,hukm
beer,pivo
reference,ma'lumotnoma
tear,ko'z yoshi
doubt,shubha
